support,itemsets
0.5894736842105263,frozenset({0})
0.5052631578947369,frozenset({1})
0.6105263157894737,frozenset({2})
0.5578947368421052,frozenset({3})
0.4631578947368421,frozenset({4})
0.5894736842105263,frozenset({5})
0.6947368421052632,frozenset({6})
0.631578947368421,frozenset({7})
0.29473684210526313,"frozenset({0, 1})"
0.4421052631578947,"frozenset({0, 2})"
0.37894736842105264,"frozenset({0, 3})"
0.2736842105263158,"frozenset({0, 4})"
0.3684210526315789,"frozenset({0, 5})"
0.4421052631578947,"frozenset({0, 6})"
0.4105263157894737,"frozenset({0, 7})"
0.35789473684210527,"frozenset({1, 2})"
0.3157894736842105,"frozenset({1, 3})"
0.25263157894736843,"frozenset({1, 4})"
0.3157894736842105,"frozenset({1, 5})"
0.35789473684210527,"frozenset({1, 6})"
0.2736842105263158,"frozenset({1, 7})"
0.42105263157894735,"frozenset({2, 3})"
0.2736842105263158,"frozenset({2, 4})"
0.3684210526315789,"frozenset({2, 5})"
0.4421052631578947,"frozenset({2, 6})"
0.4,"frozenset({2, 7})"
0.24210526315789474,"frozenset({3, 4})"
0.3684210526315789,"frozenset({3, 5})"
0.4631578947368421,"frozenset({3, 6})"
0.37894736842105264,"frozenset({3, 7})"
0.29473684210526313,"frozenset({4, 5})"
0.3263157894736842,"frozenset({4, 6})"
0.29473684210526313,"frozenset({4, 7})"
0.42105263157894735,"frozenset({5, 6})"
0.4,"frozenset({5, 7})"
0.49473684210526314,"frozenset({6, 7})"
0.24210526315789474,"frozenset({0, 1, 2})"
0.22105263157894736,"frozenset({0, 1, 3})"
0.14736842105263157,"frozenset({0, 1, 4})"
0.21052631578947367,"frozenset({0, 1, 5})"
0.24210526315789474,"frozenset({0, 1, 6})"
0.17894736842105263,"frozenset({0, 1, 7})"
0.3368421052631579,"frozenset({0, 2, 3})"
0.18947368421052632,"frozenset({0, 2, 4})"
0.28421052631578947,"frozenset({0, 2, 5})"
0.3368421052631579,"frozenset({0, 2, 6})"
0.30526315789473685,"frozenset({0, 2, 7})"
